ct,StateFIPS,CountyFIPS,TractCode,State,County,area
55079186100,55,079,186100,WI,Milwaukee County,0.50464238779
55079186200,55,079,186200,WI,Milwaukee County,0.53135094796
55079186300,55,079,186300,WI,Milwaukee County,1.22750006639
55079186400,55,079,186400,WI,Milwaukee County,0.76284750198
55079186500,55,079,186500,WI,Milwaukee County,1.30963774486
55079186600,55,079,186600,WI,Milwaukee County,1.02130251845
55079186800,55,079,186800,WI,Milwaukee County,5.72258617632
55079186900,55,079,186900,WI,Milwaukee County,0.42798600743
55079187000,55,079,187000,WI,Milwaukee County,0.35923820467
55079187200,55,079,187200,WI,Milwaukee County,38.89905390410
55079187300,55,079,187300,WI,Milwaukee County,7.80089569708
55079187400,55,079,187400,WI,Milwaukee County,1.73135165983
55079980000,55,079,980000,WI,Milwaukee County,6.03442235910
55079990000,55,079,990000,WI,Milwaukee County,2428.87143496000
55089610101,55,089,610101,WI,Ozaukee County,94.48226407830
55089610102,55,089,610102,WI,Ozaukee County,101.33540345500
55089620100,55,089,620100,WI,Ozaukee County,94.38069509480
55089630100,55,089,630100,WI,Ozaukee County,2.93325033349
55089630201,55,089,630201,WI,Ozaukee County,47.72732062160
55089630202,55,089,630202,WI,Ozaukee County,13.69290672590
55089640100,55,089,640100,WI,Ozaukee County,7.37862924434
55089640200,55,089,640200,WI,Ozaukee County,58.95519176410
55089650101,55,089,650101,WI,Ozaukee County,7.85386513845
55089650102,55,089,650102,WI,Ozaukee County,2.47908120766
55089650200,55,089,650200,WI,Ozaukee County,5.56859726319
55089650300,55,089,650300,WI,Ozaukee County,60.54705967400
55089660100,55,089,660100,WI,Ozaukee County,2.80376849966
55089660201,55,089,660201,WI,Ozaukee County,46.80199956420
55089660202,55,089,660202,WI,Ozaukee County,38.89018731240
55089660301,55,089,660301,WI,Ozaukee County,16.34675087050
55089660303,55,089,660303,WI,Ozaukee County,13.44344481250
55089660304,55,089,660304,WI,Ozaukee County,6.51071586492
55089990000,55,089,990000,WI,Ozaukee County,2268.77990431000
55131400102,55,131,400102,WI,Washington County,9.45750805987
55131400103,55,131,400103,WI,Washington County,95.30304457660
55131400104,55,131,400104,WI,Washington County,84.48839063110
55131410100,55,131,410100,WI,Washington County,63.08436830740
55131420103,55,131,420103,WI,Washington County,45.09036582930
55131420104,55,131,420104,WI,Washington County,54.17965023970
55131420105,55,131,420105,WI,Washington County,6.93913523747
55131420106,55,131,420106,WI,Washington County,5.69317675355
55131420200,55,131,420200,WI,Washington County,5.30025451323
55131420300,55,131,420300,WI,Washington County,4.84380969419
55131420401,55,131,420401,WI,Washington County,1.33318225389
55131420402,55,131,420402,WI,Washington County,1.74582660898
55131430100,55,131,430100,WI,Washington County,186.09440836900
55131440103,55,131,440103,WI,Washington County,29.22677144870
